algorithm,mean_return,std_return,success_rate,avg_steps,battery_failures,no_fly_violations,restricted_visits,charge_count
Value Iteration,203.7,61.591909641878566,1.0,31.81,0,0,0,1117
Q-learning,-125.44666666666667,13.559270711296469,0.0,18.243333333333332,300,0,158,29
SARSA,-129.66666666666666,16.799867724346985,0.0,18.133333333333333,300,0,166,32
