algorithm,mean_return,std_return,success_rate,avg_steps,battery_failures,no_fly_violations,restricted_visits,charge_count
Q-learning,110.40666666666667,152.98667029806515,0.67,28.776666666666667,99,0,1,522
SARSA,-48.53,124.8250339475219,0.16666666666666666,25.92,250,0,20,199
Expected SARSA,143.21333333333334,148.77126006800583,0.9,34.54333333333334,29,1,6,1036
Double Q-learning,120.37666666666667,254.3113081550947,0.9133333333333333,35.153333333333336,23,1,1,998
SARSA(lambda),166.23666666666668,97.91071096781099,0.9766666666666667,37.89,7,0,1,1151
Action-masked Q-learning,-2517.443333333333,565.3525685701701,0.0,143.30666666666667,18,0,3,118
Risk-aware Q-learning,167.96,106.33543655182248,0.9866666666666667,36.053333333333335,4,0,0,788
