algorithm,mean_return,std_return,success_rate,avg_steps,battery_failures,no_fly_violations,restricted_visits,charge_count
Value Iteration,-70.94333333333333,10.658023060378296,0.0,20.176666666666666,300,0,0,0
Q-learning,-390.31666666666666,422.31884840985043,0.0,42.89666666666667,260,7,20,21
SARSA,-324.2866666666667,386.19478395695035,0.0,37.50333333333333,263,13,8,17
