태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자,제공기관코드,제공기관명
가림리지언발전소1호,,전북특별자치도 진안군 진안읍 가림리 2010,,,,정상가동,99.6,380,60,2024,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
야곡1호태양광발전소,,"전북특별자치도 진안군 부귀면 수항리 776, 777-5, 781",,,,정상가동,99.64,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
누리2태양광발전소,,전북특별자치도 진안군 마령면 계서리 1072-1,,,,정상가동,99.8,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
누리1태양광발전소,,전북특별자치도 진안군 마령면 계서리 1072-1,,,,정상가동,99.8,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
연주태양광발전소,,"전북특별자치도 진안군 성수면 신기리 576, 575 건물상부",,,,정상가동,99.36,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
검보산3호태양광발전소,,전북특별자치도 진안군 상전면 구룡리 888-1,,,,정상가동,99.45,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
정철2호발전소,,전북특별자치도 진안군 진안읍 정곡리 65,,,,정상가동,99.7,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
정철1호발전소,,전북특별자치도 진안군 진안읍 정곡리 65,,,,정상가동,100,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
물레방아투태양광발전소,,전북특별자치도 진안군 백운면 운교리 71,,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
아뜰리에2호태양광발전소,,"전북특별자치도 진안군 부귀면 거석리 1121-2, 1121-10, 1128-1",,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
