태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자,제공기관코드,제공기관명
진원태양광발전소,전북특별자치도 진안군 성수면 외좌로 15-23,,,,,정상가동,199.975,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
도형2태양광발전소,,전북특별자치도 진안군 성수면 신기리 620-4 건물상부,,,,정상가동,99.36,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
유진태양광발전소,전북특별자치도 진안군 부귀면 황금로 134-68 건물상부,,,,,정상가동,99.6,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
아인태양광발전소,전북특별자치도 진안군 부귀면 황금로 134-68 건물상부,,,,,정상가동,99.6,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진안구룡태양광발전소,,전북특별자치도 진안군 진안읍 구룡리 1015-3,,,,정상가동,99.76,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
남선태양광발전소,,전북특별자치도 진안군 진안읍 구룡리 1015-3,,,,정상가동,99.76,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
구룡리상영태양광발전소,전북특별자치도 진안군 부귀면 옛웅치길 11,,,,,정상가동,99.76,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
구룡리용찬태양광발전소,전북특별자치도 진안군 부귀면 옛웅치길 11,,,,,정상가동,99.76,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
복술1태양광발전소,,전북특별자치도 진안군 성수면 신기리 620 건물상부,,,,정상가동,99.36,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
지엘티3호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 1819 건물상부,,,,정상가동,29.96,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
지엘티2호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 1819 건물상부,,,,정상가동,29.96,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
지엘티1호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 1819 건물상부,,,,정상가동,29.96,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
후가막태양광발전소2호,,전북특별자치도 진안군 상전면 주평리 253-1,,,,정상가동,99.8,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
후가막태양광발전소1호,,전북특별자치도 진안군 상전면 주평리 253-1,,,,정상가동,99.8,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
부영3태양광발전소,,전북특별자치도 진안군 부귀면 수항리 1063-6 건물상부,,,,정상가동,99.45,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
부영2태양광발전소,,"전북특별자치도 진안군 부귀면 수항리 1063-5, 1063-6 건물상부",,,,정상가동,99.45,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
건우태양광발전소,,전북특별자치도 진안군 동향면 자산리 1156,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
동향태양광발전소,,전북특별자치도 진안군 동향면 자산리 1156,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
이암2호태양광발전소,,"전북특별자치도 진안군 진안읍 가막리 283, 284",,,,정상가동,99.84,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
이암1호태양광발전소,,전북특별자치도 진안군 진안읍 가막리 283,,,,정상가동,99.84,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
현우태양광발전소,,"전북특별자치도 진안군 진안읍 가막리 284, 285",,,,정상가동,99.84,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
황금3호태양광발전소,,전북특별자치도 진안군 부귀면 황금리 973,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
황금2호태양광발전소,,전북특별자치도 진안군 부귀면 황금리 973,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
황금1호태양광발전소,,전북특별자치도 진안군 부귀면 황금리 973,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
수항3호태양광발전소,,전북특별자치도 진안군 부귀면 수항리 1207-2,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
수항2호태양광발전소,,전북특별자치도 진안군 부귀면 황금리 1207-2,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
수항1호태양광발전소,,전북특별자치도 진안군 부귀면 황금리 973,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
성원태양광발전소,,전북특별자치도 진안군 마령면 덕천리 558-3,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
천마3호태양광발전소,,"전북특별자치도 진안군 마령면 덕천리 559-13, 558-2",,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
천마2호태양광발전소,,"전북특별자치도 진안군 마령면 덕천리 559-12, 558-1",,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진성2태양광발전소,,"전북특별자치도 진안군 마령면 덕천리 559-11, 558",,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
하늘빛2호태양광발전소,,전북특별자치도 진안군 마령면 덕천리 555-1,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
필태양광발전소,,전북특별자치도 진안군 마령면 덕천리 558-4,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소1호,,"전북특별자치도 진안군 진안읍 가림리 134, 138",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소2호,,"전북특별자치도 진안군 진안읍 가림리 134, 138",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소3호,,전북특별자치도 진안군 진안읍 가림리 138,,,,정상가동,49.68,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소4호,,전북특별자치도 진안군 진안읍 가림리 2151,,,,정상가동,49.68,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소5호,,전북특별자치도 진안군 진안읍 가림리 2151,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
애플태양광발전소5,,전북특별자치도 진안군 백운면 운교리 540-33,,,,정상가동,99.44,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
솔태양광발전소,,전북특별자치도 진안군 마령면 덕천리 533-7,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
현태양광발전소,,전북특별자치도 진안군 마령면 덕천리 533-8,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
성**현태양광발전소,,전북특별자치도 진안군 마령면 덕천리 533,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
무길진안태양광발전소,,전북특별자치도 진안군 상전면 주평리 408-1,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
썬에너지태양광발전소,,전북특별자치도 진안군 상전면 주평리 408-1,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
하천발전소,전북특별자치도 진안군 상전면 금당길 173 건물상부,,,,,정상가동,44.625,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
백암3태양광발전소,,전북특별자치도 진안군 백운면 백암리 445,,,,정상가동,99.75,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
백암2태양광발전소,,전북특별자치도 진안군 백운면 백암리 444,,,,정상가동,99.75,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
백암1태양광발전소,,전북특별자치도 진안군 백운면 백암리 444,,,,정상가동,99.75,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
유창태양광발전소,,"전북특별자치도 진안군 안천면 노성리 337-7, 337-8, 337-3 건물상부",,,,정상가동,29.575,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
누리11태양광발전소,,전북특별자치도 진안군 성수면 좌산리 844,,,,정상가동,99.51,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
누리12태양광발전소,,전북특별자치도 진안군 성수면 좌산리 844,,,,정상가동,29.96,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
황금태양광발전소,,"전북특별자치도 진안군 부귀면 황금리 849-3, 850-3",,,,정상가동,19.565,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
남계3호태양광발전소,,전북특별자치도 진안군 백운면 남계리 196,,,,정상가동,49.595,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
남계2호태양광발전소,,전북특별자치도 진안군 백운면 남계리 196,,,,정상가동,49.565,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진주태양광발전소,,전북특별자치도 진안군 동향면 신송리 928-2 건물상부,,,,정상가동,19.11,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진안반월4호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 889-19,,,,정상가동,99.8,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진안반월2호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 889-19,,,,정상가동,99.8,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진안반월1호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 889-19,,,,정상가동,99.8,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
천하1호태양광발전소,,전북특별자치도 진안군 주천면 대불리 658-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
손종근태양광발전소,,전북특별자치도 진안군 부귀면 세동리 185-6,,,,정상가동,29.815,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
주안1호태양광발전소,,전북특별자치도 진안군 진안읍 연장리 1764 건물상부,,,,정상가동,35.1,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
선명7태양광발전소,,전북특별자치도 진안군 백운면 남계리 864,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
선명6태양광발전소,,전북특별자치도 진안군 백운면 남계리 864,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
선명5태양광발전소,,전북특별자치도 진안군 백운면 남계리 864,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
선명3태양광발전소,,전북특별자치도 진안군 백운면 남계리 864,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
주평태양광발전소,,"전북특별자치도 진안군 상전면 주평리 866-1, 866-2, 866-3, 866-4 건물상부",,,,정상가동,99,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
스카이7태양광발전소,,"전북특별자치도 진안군 주천면 대불리 982-1, 982-2 건물상부",,,,정상가동,99.54,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
운산리진숙태양광,,전북특별자치도 진안군 진안읍 운산리 122-2,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
현수태양광발전소,,전북특별자치도 진안군 부귀면 수항리 1063-1 건물상부,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
부영1태양광발전소,,전북특별자치도 진안군 부귀면 수항리 1063-1 건물상부,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
동환태양광발전소,,전북특별자치도 진안군 부귀면 수항리 1063-1 건물상부,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
성현태양광발전소,,전북특별자치도 진안군 부귀면 수항리 1063-1 건물상부,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
봉유3호발전소,,전북특별자치도 진안군 동향면 능금리 70,,,,정상가동,99.44,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
봉유2호발전소,,전북특별자치도 진안군 동향면 능금리 70,,,,정상가동,99.44,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
봉유1호발전소,,전북특별자치도 진안군 동향면 능금리 70,,,,정상가동,99.44,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
구룡리구관회태양광발전소,,"전북특별자치도 진안군 진안읍 구룡리 814-1, 814-2",,,,정상가동,99,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
석곡태양광발전소11호,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
석곡태양광발전소10호,,전북특별자치도 진안군 진안읍 구룡리 479-12,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
석곡태양광발전소9호,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
석곡태양광발전소8호,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
현대2호태양광발전소,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
은진2호태양광발전소,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
기상태양광발전소,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
석곡태양광발전소4호,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
시리태양광발전소1호,,전북특별자치도 진안군 진안읍 구룡리 479-6,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
클로버태양광발전소2호,,전북특별자치도 진안군 진안읍 구룡리 479-5,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
불칸태양광발전소1호,,전북특별자치도 진안군 진안읍 구룡리 479-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
행자태양광발전소,,"전북특별자치도 진안군 부귀면 수항리 779, 780 건물상부",,,,정상가동,28.35,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
천하2호태양광발전소,,전북특별자치도 진안군 주천면 대불리 658-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
유원태양광발전소,,"전북특별자치도 진안군 성수면 좌산리 843-4, 843-5, 843-7, 843-8",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
순태양광발전소,,"전북특별자치도 진안군 성수면 좌산리 843-5, 843-7, 843-8",,,,정상가동,29.4,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
온유태양광발전소,,전북특별자치도 진안군 성수면 좌산리 843-13,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
대욱태양광발전소,,전북특별자치도 진안군 성수면 좌산리 843-4,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소9,,전북특별자치도 진안군 진안읍 가림리 1895-1,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소8,,전북특별자치도 진안군 진안읍 가림리 1895-1,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소7,,전북특별자치도 진안군 진안읍 가림리 1895-1,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소6,,전북특별자치도 진안군 진안읍 가림리 432,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소5,,전북특별자치도 진안군 진안읍 가림리 432,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소4,,"전북특별자치도 진안군 진안읍 가림리 431, 432",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소2,,"전북특별자치도 진안군 진안읍 가림리 431, 432",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소1,,"전북특별자치도 진안군 진안읍 가림리 431, 432",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
명자태양광발전소,,전북특별자치도 진안군 부귀면 세동리 981-1,,,,정상가동,19.565,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
종수태양광발전소,,전북특별자치도 진안군 정천면 봉학리 1258-6,,,,정상가동,19.565,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
지헌태양광발전소,,전북특별자치도 진안군 부귀면 수항리 78-1 건물상부,,,,정상가동,29.575,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
상기태양광발전소,,전북특별자치도 진안군 성수면 좌산리 233-12 건물상부,,,,정상가동,99.64,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
토비1호태양광발전소,,전북특별자치도 진안군 마령면 덕천리 322-14,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
우빈태양광발전소,,전북특별자치도 진안군 마령면 덕천리 323-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
토비2호태양광발전소,,전북특별자치도 진안군 마령면 덕천리 322-13,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
태평5호태양광발전소,,전북특별자치도 진안군 주천면 대불리 490-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
창명2태양광발전소,,"전북특별자치도 진안군 부귀면 황금리 35-1, 37-1",,,,정상가동,99.36,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
창명1태양광발전소,,전북특별자치도 진안군 부귀면 황금리 35-1,,,,정상가동,99.36,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
문주태양광발전소,,전북특별자치도 진안군 동향면 자산리 1158,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
정문협동조합태양광발전소,,전북특별자치도 진안군 동향면 자산리 1158-2,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
종호태양광발전소,,"전북특별자치도 진안군 정천면 갈용리 199, 200",,,,정상가동,99.44,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
완자태양광발전소,,전북특별자치도 진안군 정천면 갈용리 200,,,,정상가동,99.44,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
능금태양광발전소,,전북특별자치도 진안군 동향면 능금리 2159,,,,정상가동,29.4,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
유한회사 온느리테크산업,,전북특별자치도 진안군 진안읍 연장리 1764 건물상부,,,,정상가동,63,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
태평4호태양광발전소,,"전북특별자치도 진안군 주천면 대불리 327, 327-1",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
남열태양광발전소,,전북특별자치도 진안군 백운면 운교리 739-3,,,,정상가동,19.72,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
해마루2호태양광발전소,전북특별자치도 진안군 주천면 동상주천로 982-35 건물상부,,,,,정상가동,49.5,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
해마루1호태양광발전소,,전북특별자치도 진안군 주천면 대불리 1916,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
대동태양광발전소,,전북특별자치도 진안군 마령면 덕천리 902-10 토지 및 건물상부,,,,정상가동,29.575,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진성태양광발전소,,전북특별자치도 진안군 성수면 신기리 576 건물상부,,,,정상가동,99.36,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
노촌태양광발전소2,,"전북특별자치도 진안군 백운면 노촌리 654, 656-2",,,,정상가동,99.84,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
노촌태양광발전소1,,전북특별자치도 진안군 백운면 노촌리 654,,,,정상가동,99.84,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
푸른솔라2호태양광발전소,,전북특별자치도 진안군 마령면 덕천리 445-9 건물상부,,,,정상가동,99,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
육남매태양광발전소,전북특별자치도 진안군 용담면 문화1길 14-1,,,,,정상가동,19.32,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
태평3호태양광발전소,,전북특별자치도 진안군 주천면 대불리 487-1,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
태평2호태양광발전소,,전북특별자치도 진안군 주천면 대불리 487-1,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
태평1호태양광발전소,,전북특별자치도 진안군 주천면 대불리 487-1,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
신안골태양광발전소,전북특별자치도 진안군 마령면 운계로 295,,,,,정상가동,19.74,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
SH태양광발전소,,전북특별자치도 진안군 마령면 평지리 653-5,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
마령샤인태양광발전소,,전북특별자치도 진안군 마령면 평지리 653-1,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
정진태양광발전소,,전북특별자치도 진안군 마령면 평지리 653-6,,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
애니카태양광발전소,전북특별자치도 진안군 진안읍 전진로 3165-3,,,,,정상가동,40,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
향촌1태양광발전소,,전북특별자치도 진안군 부귀면 신정리 285-1,,,,정상가동,99,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
섬들태양광발전소,,"전북특별자치도 진안군 진안읍 가막리 769-4, 770",,,,정상가동,99.84,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
제이케이진안태양광발전소,,"전북특별자치도 진안군 진안읍 물곡리 339-1, 346, 346-1",,,,정상가동,99.82,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
디딤돌3호태양광발전소,,"전북특별자치도 진안군 진안읍 물곡리 339-1, 346, 346-1",,,,정상가동,99.82,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
디딤돌2호태양광발전소,,"전북특별자치도 진안군 진안읍 물곡리 339-1, 339-8, 346-1",,,,정상가동,99.82,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
디딤돌1호태양광발전소,,"전북특별자치도 진안군 진안읍 물곡리 339-1, 339-8, 346-1",,,,정상가동,99.82,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
상희발전소,,전북특별자치도 진안군 마령면 계서리 1115-1,,,,정상가동,99.84,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진태소태양광발전소,,"전북특별자치도 진안군 부귀면 수항리 814, 810",,,,정상가동,99.82,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
광민태양광발전소2호,,전북특별자치도 진안군 진안읍 정곡리 823,,,,정상가동,29.7,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
준하태양광발전소,,"전북특별자치도 진안군 진안읍 정곡리 819, 818-2, 820",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
호형태양광발전소,,"전북특별자치도 진안군 진안읍 정곡리 818-1, 819",,,,정상가동,29.7,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
