algorithm,mean_return,std_return,success_rate,avg_steps,battery_failures,no_fly_violations,restricted_visits,charge_count
Value Iteration,-82.0,0.0,0.0,1.0,0,300,0,0
Q-learning,-82.0,0.0,0.0,1.0,0,300,0,0
SARSA,-82.0,0.0,0.0,1.0,0,300,0,0
