algorithm,mean_return,std_return,success_rate,avg_steps,battery_failures,no_fly_violations,restricted_visits,charge_count
Value Iteration,203.7,61.591909641878566,1.0,31.81,0,0,0,1117
Q-learning,110.40666666666667,152.98667029806515,0.67,28.776666666666667,99,0,1,522
SARSA,-48.53,124.8250339475219,0.16666666666666666,25.92,250,0,20,199
