episode,sample_mean,Expected SARSA,Risk-aware Q-learning
227,384.7,399.7,369.7
228,345.2,359.7,330.7
229,369.7,378.7,360.7
230,355.2,330.7,379.7
231,351.7,358.7,344.7
232,359.7,359.7,359.7
233,363.7,368.7,358.7
234,386.7,384.7,388.7
235,361.2,362.7,359.7
236,384.7,400.7,368.7
237,364.7,359.7,369.7
238,380.7,399.7,361.7
239,363.7,358.7,368.7
240,368.7,358.7,378.7
241,368.2,358.7,377.7
242,360.2,359.7,360.7
243,371.2,368.7,373.7
244,368.2,368.7,367.7
245,359.7,359.7,359.7
246,368.7,360.7,376.7
247,379.7,399.7,359.7
248,339.7,320.7,358.7
249,368.2,368.7,367.7
250,377.2,394.7,359.7
251,368.7,369.7,367.7
252,344.2,358.7,329.7
253,365.2,359.7,370.7
254,355.2,379.7,330.7
255,381.7,389.7,373.7
256,367.7,373.7,361.7
257,378.7,368.7,388.7
258,370.2,379.7,360.7
259,349.2,330.7,367.7
260,359.2,358.7,359.7
261,359.7,358.7,360.7
262,359.7,359.7,359.7
263,361.7,378.7,344.7
264,370.7,379.7,361.7
265,383.2,388.7,377.7
266,364.7,368.7,360.7
267,369.2,367.7,370.7
268,359.2,359.7,358.7
269,359.2,398.7,319.7
270,368.7,368.7,368.7
271,379.7,398.7,360.7
272,345.2,359.7,330.7
273,395.2,429.7,360.7
274,339.7,358.7,320.7
275,373.7,381.7,365.7
276,360.2,361.7,358.7
277,359.2,358.7,359.7
278,372.2,340.7,403.7
279,365.2,358.7,371.7
280,359.7,359.7,359.7
281,378.2,358.7,397.7
282,364.7,368.7,360.7
283,365.2,361.7,368.7
284,360.7,360.7,360.7
285,385.7,412.7,358.7
286,371.2,374.7,367.7
287,358.7,358.7,358.7
288,382.7,404.7,360.7
289,379.7,378.7,380.7
290,340.7,359.7,321.7
291,398.7,380.7,416.7
292,395.2,430.7,359.7
293,380.7,403.7,357.7
294,349.2,368.7,329.7
295,380.2,359.7,400.7
296,370.2,369.7,370.7
297,361.2,357.7,364.7
298,372.2,383.7,360.7
299,363.7,359.7,367.7
300,371.7,369.7,373.7
301,384.2,379.7,388.7
302,346.7,332.7,360.7
303,359.7,360.7,358.7
304,360.7,361.7,359.7
305,369.7,381.7,357.7
306,347.7,333.7,361.7
307,356.7,349.7,363.7
308,358.2,357.7,358.7
309,359.7,358.7,360.7
310,364.7,359.7,369.7
311,357.2,368.7,345.7
312,370.7,358.7,382.7
313,357.7,364.7,350.7
314,364.2,358.7,369.7
315,374.2,388.7,359.7
316,345.7,321.7,369.7
317,375.2,390.7,359.7
318,364.7,369.7,359.7
319,360.7,360.7,360.7
320,359.7,330.7,388.7
321,364.7,359.7,369.7
322,362.7,351.7,373.7
323,360.7,360.7,360.7
324,359.7,359.7,359.7
325,359.2,358.7,359.7
326,364.7,368.7,360.7
327,375.2,360.7,389.7
328,364.2,358.7,369.7
329,365.2,370.7,359.7
330,369.7,370.7,368.7
331,368.7,358.7,378.7
332,345.2,369.7,320.7
333,380.2,361.7,398.7
334,362.2,364.7,359.7
335,359.2,357.7,360.7
336,379.7,399.7,359.7
337,369.7,359.7,379.7
338,364.7,369.7,359.7
339,359.2,359.7,358.7
340,374.7,379.7,369.7
341,370.2,380.7,359.7
342,364.7,358.7,370.7
343,362.7,365.7,359.7
344,375.7,382.7,368.7
345,370.2,371.7,368.7
346,359.7,359.7,359.7
347,340.7,360.7,320.7
348,359.2,358.7,359.7
349,370.2,359.7,380.7
350,364.2,367.7,360.7
351,369.2,378.7,359.7
352,358.7,357.7,359.7
353,340.2,320.7,359.7
354,374.7,369.7,379.7
355,359.2,359.7,358.7
356,360.7,359.7,361.7
357,373.7,368.7,378.7
358,358.7,359.7,357.7
359,343.7,327.7,359.7
360,358.7,359.7,357.7
361,360.7,360.7,360.7
362,374.7,389.7,359.7
363,389.2,378.7,399.7
364,358.7,358.7,358.7
365,345.2,369.7,320.7
366,361.2,361.7,360.7
367,359.7,359.7,359.7
368,344.2,367.7,320.7
369,370.2,359.7,380.7
370,369.2,369.7,368.7
371,358.7,358.7,358.7
372,363.2,358.7,367.7
373,364.2,369.7,358.7
374,381.7,402.7,360.7
375,368.2,361.7,374.7
376,388.7,417.7,359.7
377,364.2,367.7,360.7
378,380.7,400.7,360.7
379,359.7,360.7,358.7
380,374.7,369.7,379.7
381,382.7,378.7,386.7
382,358.7,320.7,396.7
383,370.7,372.7,368.7
384,370.2,419.7,320.7
385,381.2,372.7,389.7
386,390.7,371.7,409.7
387,355.7,323.7,387.7
388,374.7,359.7,389.7
389,359.7,359.7,359.7
390,326.2,320.7,331.7
391,364.2,359.7,368.7
392,364.2,358.7,369.7
393,370.7,372.7,368.7
394,362.2,359.7,364.7
395,398.2,386.7,409.7
396,369.7,369.7,369.7
397,368.2,368.7,367.7
398,359.2,359.7,358.7
399,363.2,359.7,366.7
400,373.7,368.7,378.7
401,364.7,359.7,369.7
402,339.7,320.7,358.7
403,407.2,453.7,360.7
404,373.7,369.7,377.7
405,364.7,370.7,358.7
406,399.7,418.7,380.7
407,374.7,380.7,368.7
408,365.7,369.7,361.7
409,360.7,361.7,359.7
410,360.7,360.7,360.7
411,344.7,369.7,319.7
412,359.7,359.7,359.7
413,355.2,369.7,340.7
414,373.7,378.7,368.7
415,364.2,368.7,359.7
416,355.7,358.7,352.7
417,383.7,377.7,389.7
418,394.2,398.7,389.7
419,376.2,362.7,389.7
420,364.7,369.7,359.7
421,364.2,368.7,359.7
422,344.2,358.7,329.7
423,369.2,369.7,368.7
424,362.7,359.7,365.7
425,368.7,378.7,358.7
426,344.7,359.7,329.7
427,340.7,320.7,360.7
428,345.7,369.7,321.7
429,399.2,399.7,398.7
430,364.7,359.7,369.7
431,371.2,358.7,383.7
432,368.7,377.7,359.7
433,368.7,366.7,370.7
434,359.2,358.7,359.7
435,387.2,396.7,377.7
436,364.2,359.7,368.7
437,363.7,358.7,368.7
438,369.2,369.7,368.7
439,387.7,370.7,404.7
440,363.7,369.7,357.7
441,359.2,359.7,358.7
442,363.7,367.7,359.7
443,369.2,369.7,368.7
444,362.7,356.7,368.7
445,381.7,372.7,390.7
446,380.7,380.7,380.7
447,374.2,389.7,358.7
448,344.2,359.7,328.7
449,354.7,319.7,389.7
450,359.2,358.7,359.7
451,361.2,360.7,361.7
452,378.7,399.7,357.7
453,374.7,388.7,360.7
454,364.2,359.7,368.7
455,344.2,319.7,368.7
456,374.7,369.7,379.7
457,344.7,329.7,359.7
458,377.2,393.7,360.7
459,395.7,369.7,421.7
460,359.7,359.7,359.7
461,387.7,359.7,415.7
462,379.2,358.7,399.7
463,359.7,359.7,359.7
464,366.2,361.7,370.7
465,348.7,367.7,329.7
466,393.2,416.7,369.7
467,377.7,367.7,387.7
468,369.7,369.7,369.7
469,382.7,405.7,359.7
470,359.2,358.7,359.7
471,407.2,409.7,404.7
472,363.7,358.7,368.7
473,343.7,327.7,359.7
474,364.7,369.7,359.7
475,369.7,360.7,378.7
476,379.7,359.7,399.7
477,365.2,359.7,370.7
478,387.7,386.7,388.7
479,374.7,389.7,359.7
480,359.2,358.7,359.7
481,377.7,361.7,393.7
482,380.2,380.7,379.7
483,344.7,358.7,330.7
484,360.7,360.7,360.7
