algorithm,mean_return,std_return,success_rate,avg_steps,battery_failures,no_fly_violations,restricted_visits,charge_count
Value Iteration,-65.2375,1.7553044607702677,0.0,18.0375,80,0,0,0
Q-learning,-143.475,34.852896221117696,0.0,24.15,80,0,0,3
SARSA,-158.1625,44.55654939231717,0.0,26.6125,80,0,0,17
